Product id,Product company,Product category,price/value,stars,Product name
B0922GF9W8,Kikerike,Automotive ,12.98,4.3,Terminal Pin Removal Tool Kit 82 Pcs Depinning Tool Electrical Connector Pin Extractor Tool Set Wire Terminal Release Tool for Automotive Car Household Devices
B0C23JNPV3,Hinshark,Tools & Home Improvement ,22.94,4.5,Gifts for Men
B07VPH48T9,RockSeed,Tools & Home Improvement ,23.99,4.3,Laser Level
B09CTK5PZT,Lenski,Tools & Home Improvement ,16.99,4.6,Lenski Gifts for Men
B00CBY2EIO,DEWALT,Tools & Home Improvement ,31.11,4.8,DEWALT TSTAK Tool Box
B077YNTQN7,RoverTac,Tools & Home Improvement ,22.99,4.5,RoverTac Pocket Knife Tactical Folding Multi Tool Knife with Pliers Bottle & Can Opener 9-Pack Screwdrivers Liner Lock Nylon Sheath Perfect for Camping Survival Hiking
B07Z3HB7DR,MOTOPOWER,Automotive ,20.0,4.6,MOTOPOWER MP69033 Car OBD2 Scanner Code Reader Engine Fault Scanner CAN Diagnostic Scan Tool for All OBD II Protocol Cars Since 1996
B08LSBM7QF,Biaoyun,Tools & Home Improvement ,4.99,4.1,3 Pack 18 In 1 Multitool - Stainless Steel Multi-Tool Stainless Multi-tool Slotted
B0C9V6NYZ4,Klein Tools,Tools & Home Improvement ,21.97,4.6,Klein Tools 32500HD Multi-Bit Screwdriver / Nut Driver
B0723914V1,DEKOPRO,Tools & Home Improvement ,63.99,4.6,DEKOPRO 228 Piece Socket Wrench Auto Repair Tool Combination Package Mixed Tool Set Hand Tool Kit with Plastic Toolbox Storage Case
B08VWCZ9H8,KINGTOOL,Tools & Home Improvement ,109.99,4.5,KingTool 325 Piece Home Repair Tool Kit
B0767PMCD8,DEWALT,Tools & Home Improvement ,154.99,4.8,DEWALT Mechanic Tool Set
B0B2ZPTMW6,Katerk,Tools & Home Improvement ,12.98,4.5,Push to Unlock
B097DDZ45M,SWANLAKE GARDEN TOOLS,Tools & Home Improvement ,35.99,4.5,SWANLAKE 118PCS Magnetic Screwdrivers Set With Plastic Ranking
B0CB8MWVYS,EVERSEE,Tools & Home Improvement ,12.99,4.7,Bit Holder Tools Gifts for Men - Stocking Stuffers for Men Gadgets 1/4 Hex Shank Socket Screwdriver Drill Bit Holder Keychain Impact Driver Extension Bar Cool Stuff Christmas Ideas Gifts for Dad Adult
